Zip Code,COUNTYNAME,STATENAME
35482,Tuscaloosa,Alabama
35485,Tuscaloosa,Alabama
35486,Tuscaloosa,Alabama
35487,Tuscaloosa,Alabama
35490,Tuscaloosa,Alabama
35491,Greene,Alabama
35501,Walker,Alabama
35502,Walker,Alabama
35503,Walker,Alabama
35504,Walker,Alabama
35540,Winston,Alabama
35541,Winston,Alabama
35542,Fayette,Alabama
35543,Marion,Alabama
35544,Lamar,Alabama
35545,Fayette,Alabama
35546,Fayette,Alabama
35548,Marion,Alabama
35549,Walker,Alabama
35550,Walker,Alabama
35551,Winston,Alabama
35552,Lamar,Alabama
35553,Winston,Alabama
35554,Walker,Alabama
35555,Fayette,Alabama
35559,Fayette,Alabama
35560,Walker,Alabama
35563,Marion,Alabama
35564,Marion,Alabama
35565,Winston,Alabama
35570,Marion,Alabama
35571,Franklin,Alabama
35572,Winston,Alabama
35573,Walker,Alabama
35574,Lamar,Alabama
35575,Winston,Alabama
35576,Lamar,Alabama
35577,Winston,Alabama
35578,Walker,Alabama
35579,Walker,Alabama
35580,Walker,Alabama
35581,Franklin,Alabama
35582,Franklin,Alabama
35584,Walker,Alabama
35585,Franklin,Alabama
35586,Lamar,Alabama
35587,Walker,Alabama
35592,Lamar,Alabama
35593,Franklin,Alabama
35594,Marion,Alabama
35601,Morgan,Alabama
35602,Morgan,Alabama
35603,Morgan,Alabama
35609,Morgan,Alabama
35610,Lauderdale,Alabama
35611,Limestone,Alabama
35612,Limestone,Alabama
35613,Limestone,Alabama
35614,Limestone,Alabama
35615,Limestone,Alabama
35616,Colbert,Alabama
35617,Lauderdale,Alabama
35618,Lawrence,Alabama
35619,Morgan,Alabama
35620,Limestone,Alabama
35621,Morgan,Alabama
35622,Morgan,Alabama
35630,Lauderdale,Alabama
35631,Lauderdale,Alabama
35632,Lauderdale,Alabama
35633,Lauderdale,Alabama
35634,Lauderdale,Alabama
35640,Morgan,Alabama
35643,Lawrence,Alabama
35645,Lauderdale,Alabama
35646,Colbert,Alabama
35647,Limestone,Alabama
35648,Lauderdale,Alabama
35649,Limestone,Alabama
35650,Lawrence,Alabama
35651,Lawrence,Alabama
35652,Lauderdale,Alabama
35653,Franklin,Alabama
35654,Franklin,Alabama
35660,Colbert,Alabama
35661,Colbert,Alabama
35662,Colbert,Alabama
35670,Morgan,Alabama
35671,Limestone,Alabama
35672,Lawrence,Alabama
35673,Morgan,Alabama
35674,Colbert,Alabama
35677,Lauderdale,Alabama
35699,Morgan,Alabama
35739,Limestone,Alabama
35740,Jackson,Alabama
35741,Madison,Alabama
35742,Limestone,Alabama
35744,Jackson,Alabama
35745,Jackson,Alabama
35746,Jackson,Alabama
35747,Marshall,Alabama
35748,Madison,Alabama
35749,Madison,Alabama
35750,Madison,Alabama
35751,Jackson,Alabama
35752,Jackson,Alabama
35754,Morgan,Alabama
35755,Jackson,Alabama
35756,Limestone,Alabama
35757,Madison,Alabama
35758,Madison,Alabama
35759,Madison,Alabama
35760,Madison,Alabama
35761,Madison,Alabama
35762,Madison,Alabama
35763,Madison,Alabama
35764,Jackson,Alabama
35765,Jackson,Alabama
35766,Jackson,Alabama
35767,Madison,Alabama
35768,Jackson,Alabama
35769,Jackson,Alabama
35771,Jackson,Alabama
35772,Jackson,Alabama
35773,Madison,Alabama
35774,Jackson,Alabama
35775,Morgan,Alabama
35776,Jackson,Alabama
35801,Madison,Alabama
35802,Madison,Alabama
35803,Madison,Alabama
35804,Madison,Alabama
35805,Madison,Alabama
35806,Madison,Alabama
35807,Madison,Alabama
35808,Madison,Alabama
35809,Madison,Alabama
35810,Madison,Alabama
35811,Madison,Alabama
35812,Madison,Alabama
35813,Madison,Alabama
35814,Madison,Alabama
35815,Madison,Alabama
35816,Madison,Alabama
35824,Madison,Alabama
35893,Madison,Alabama
35894,Madison,Alabama
35895,Madison,Alabama
35896,Madison,Alabama
35897,Madison,Alabama
35898,Madison,Alabama
35899,Madison,Alabama
35901,Etowah,Alabama
35902,Etowah,Alabama
35903,Etowah,Alabama
35904,Etowah,Alabama
35905,Etowah,Alabama
35906,Etowah,Alabama
35907,Etowah,Alabama
35950,Marshall,Alabama
35951,Marshall,Alabama
35952,Etowah,Alabama
35953,Saint Clair,Alabama
35954,Etowah,Alabama
35956,Etowah,Alabama
35957,Marshall,Alabama
35958,Jackson,Alabama
35959,Cherokee,Alabama
35960,Cherokee,Alabama
35961,De Kalb,Alabama
35962,De Kalb,Alabama
35963,De Kalb,Alabama
35964,Marshall,Alabama
35966,Jackson,Alabama
35967,De Kalb,Alabama
35968,De Kalb,Alabama
35971,De Kalb,Alabama
35972,Etowah,Alabama
35973,Cherokee,Alabama
35974,De Kalb,Alabama
35975,De Kalb,Alabama
35976,Marshall,Alabama
35978,De Kalb,Alabama
35979,Jackson,Alabama
35980,Marshall,Alabama
35981,De Kalb,Alabama
35983,Cherokee,Alabama
35984,De Kalb,Alabama
35986,De Kalb,Alabama
35987,Saint Clair,Alabama
35988,De Kalb,Alabama
35989,De Kalb,Alabama
35990,Etowah,Alabama
36003,Autauga,Alabama
36005,Pike,Alabama
36006,Autauga,Alabama
36008,Autauga,Alabama
36009,Crenshaw,Alabama
36010,Pike,Alabama
36013,Montgomery,Alabama
36015,Butler,Alabama
36016,Barbour,Alabama
36017,Barbour,Alabama
36020,Elmore,Alabama
36022,Elmore,Alabama
36023,Tallapoosa,Alabama
36024,Elmore,Alabama
36025,Elmore,Alabama
36026,Coosa,Alabama
36027,Barbour,Alabama
36028,Crenshaw,Alabama
36029,Bullock,Alabama
36030,Butler,Alabama
36031,Macon,Alabama
36032,Lowndes,Alabama
36033,Butler,Alabama
36034,Crenshaw,Alabama
36035,Pike,Alabama
36036,Montgomery,Alabama
36037,Butler,Alabama
36038,Covington,Alabama
36039,Macon,Alabama
36040,Lowndes,Alabama
36041,Crenshaw,Alabama
36042,Crenshaw,Alabama
36043,Montgomery,Alabama
36045,Elmore,Alabama
36046,Montgomery,Alabama
36047,Lowndes,Alabama
36048,Barbour,Alabama
36049,Crenshaw,Alabama
36051,Autauga,Alabama
36052,Montgomery,Alabama
36053,Bullock,Alabama
36054,Elmore,Alabama
36057,Montgomery,Alabama
36061,Bullock,Alabama
36062,Crenshaw,Alabama
36064,Montgomery,Alabama
36065,Montgomery,Alabama
36066,Autauga,Alabama
36067,Autauga,Alabama
36068,Autauga,Alabama
36069,Montgomery,Alabama
36071,Crenshaw,Alabama
36072,Barbour,Alabama
36075,Macon,Alabama
36078,Elmore,Alabama
36079,Pike,Alabama
36080,Elmore,Alabama
36081,Pike,Alabama
36082,Pike,Alabama
36083,Macon,Alabama
36087,Macon,Alabama
36088,Macon,Alabama
36089,Bullock,Alabama
36091,Chilton,Alabama
36092,Elmore,Alabama
36093,Elmore,Alabama
36101,Montgomery,Alabama
36102,Montgomery,Alabama
36103,Montgomery,Alabama
36104,Montgomery,Alabama
36105,Montgomery,Alabama
36106,Montgomery,Alabama
36107,Montgomery,Alabama
36108,Montgomery,Alabama
36109,Montgomery,Alabama
36110,Montgomery,Alabama
36111,Montgomery,Alabama
36112,Montgomery,Alabama
36113,Montgomery,Alabama
36114,Montgomery,Alabama
36115,Montgomery,Alabama
36116,Montgomery,Alabama
36117,Montgomery,Alabama
36118,Montgomery,Alabama
36119,Montgomery,Alabama
36120,Montgomery,Alabama
36121,Montgomery,Alabama
36123,Montgomery,Alabama
36124,Montgomery,Alabama
36125,Montgomery,Alabama
36130,Montgomery,Alabama
36131,Montgomery,Alabama
36132,Montgomery,Alabama
36133,Montgomery,Alabama
36134,Montgomery,Alabama
36135,Montgomery,Alabama
36140,Montgomery,Alabama
36141,Montgomery,Alabama
36142,Montgomery,Alabama
36177,Montgomery,Alabama
36191,Montgomery,Alabama
36201,Calhoun,Alabama
36202,Calhoun,Alabama
36203,Calhoun,Alabama
36204,Calhoun,Alabama
36205,Calhoun,Alabama
36206,Calhoun,Alabama
36207,Calhoun,Alabama
36210,Calhoun,Alabama
36250,Calhoun,Alabama
36251,Clay,Alabama
36253,Calhoun,Alabama
36254,Calhoun,Alabama
36255,Clay,Alabama
36256,Tallapoosa,Alabama
36257,Calhoun,Alabama
36258,Clay,Alabama
36260,Calhoun,Alabama
36261,Cleburne,Alabama
36262,Cleburne,Alabama
36263,Randolph,Alabama
36264,Cleburne,Alabama
36265,Calhoun,Alabama
36266,Clay,Alabama
36267,Clay,Alabama
36268,Talladega,Alabama
36269,Cleburne,Alabama
36271,Calhoun,Alabama
36272,Calhoun,Alabama
36273,Cleburne,Alabama
36274,Randolph,Alabama
36275,Cherokee,Alabama
36276,Randolph,Alabama
36277,Calhoun,Alabama
36278,Randolph,Alabama
36279,Calhoun,Alabama
36280,Randolph,Alabama
36301,Houston,Alabama
36302,Houston,Alabama
36303,Houston,Alabama
36304,Houston,Alabama
36305,Houston,Alabama
36310,Henry,Alabama
36311,Dale,Alabama
36312,Houston,Alabama
36313,Geneva,Alabama
36314,Geneva,Alabama
36316,Geneva,Alabama
36317,Henry,Alabama
36318,Geneva,Alabama
36319,Houston,Alabama
36320,Houston,Alabama
36321,Houston,Alabama
36322,Dale,Alabama
36323,Coffee,Alabama
36330,Coffee,Alabama
36331,Coffee,Alabama
36340,Geneva,Alabama
36343,Houston,Alabama
36344,Geneva,Alabama
36345,Henry,Alabama
36346,Coffee,Alabama
36349,Geneva,Alabama
36350,Dale,Alabama
36351,Coffee,Alabama
36352,Dale,Alabama
36353,Henry,Alabama
36360,Dale,Alabama
36361,Dale,Alabama
36362,Dale,Alabama
36370,Houston,Alabama
36371,Dale,Alabama
36373,Henry,Alabama
36374,Dale,Alabama
36375,Geneva,Alabama
36376,Houston,Alabama
36401,Conecuh,Alabama
36420,Covington,Alabama
36421,Covington,Alabama
36425,Monroe,Alabama
36426,Escambia,Alabama
36427,Escambia,Alabama
36429,Conecuh,Alabama
36432,Conecuh,Alabama
36435,Wilcox,Alabama
36436,Clarke,Alabama
36439,Monroe,Alabama
36441,Escambia,Alabama
36442,Covington,Alabama
36444,Monroe,Alabama
36445,Monroe,Alabama
36446,Clarke,Alabama
36449,Monroe,Alabama
36451,Clarke,Alabama
36453,Coffee,Alabama
36454,Conecuh,Alabama
36455,Covington,Alabama
36456,Butler,Alabama
36457,Monroe,Alabama
36458,Monroe,Alabama
36460,Monroe,Alabama
36461,Monroe,Alabama
36462,Monroe,Alabama
36467,Covington,Alabama
36470,Monroe,Alabama
36471,Monroe,Alabama
36473,Conecuh,Alabama
36474,Covington,Alabama
36475,Conecuh,Alabama
36476,Covington,Alabama
36477,Geneva,Alabama
36480,Monroe,Alabama
36481,Monroe,Alabama
36482,Clarke,Alabama
36483,Covington,Alabama
36501,Clarke,Alabama
36502,Escambia,Alabama
36503,Escambia,Alabama
36504,Escambia,Alabama
36505,Mobile,Alabama
36507,Baldwin,Alabama
36509,Mobile,Alabama
36511,Baldwin,Alabama
36512,Mobile,Alabama
36513,Washington,Alabama
36515,Clarke,Alabama
36518,Washington,Alabama
36521,Mobile,Alabama
36522,Mobile,Alabama
36523,Mobile,Alabama
36524,Clarke,Alabama
36525,Mobile,Alabama
36526,Baldwin,Alabama
36527,Baldwin,Alabama
36528,Mobile,Alabama
36529,Washington,Alabama
36530,Baldwin,Alabama
36532,Baldwin,Alabama
36533,Baldwin,Alabama
36535,Baldwin,Alabama
36536,Baldwin,Alabama
36538,Washington,Alabama
36539,Washington,Alabama
36540,Clarke,Alabama
36541,Mobile,Alabama
36542,Baldwin,Alabama
36543,Escambia,Alabama
36544,Mobile,Alabama
36545,Clarke,Alabama
36547,Baldwin,Alabama
36548,Washington,Alabama
36549,Baldwin,Alabama
36550,Baldwin,Alabama
36551,Baldwin,Alabama
36553,Washington,Alabama
36555,Baldwin,Alabama
36556,Washington,Alabama
36558,Washington,Alabama
36559,Baldwin,Alabama
36560,Mobile,Alabama
36561,Baldwin,Alabama
36562,Baldwin,Alabama
36564,Baldwin,Alabama
36567,Baldwin,Alabama
36568,Mobile,Alabama
36569,Washington,Alabama
36571,Mobile,Alabama
36572,Mobile,Alabama
36574,Baldwin,Alabama
36575,Mobile,Alabama
36576,Baldwin,Alabama
36577,Baldwin,Alabama
36578,Baldwin,Alabama
36579,Baldwin,Alabama
36580,Baldwin,Alabama
36581,Washington,Alabama
36582,Mobile,Alabama
36583,Washington,Alabama
36584,Washington,Alabama
36585,Washington,Alabama
36587,Mobile,Alabama
36590,Mobile,Alabama
36601,Mobile,Alabama
36602,Mobile,Alabama
36603,Mobile,Alabama
36604,Mobile,Alabama
36605,Mobile,Alabama
36606,Mobile,Alabama
36607,Mobile,Alabama
36608,Mobile,Alabama
36609,Mobile,Alabama
36610,Mobile,Alabama
36611,Mobile,Alabama
36612,Mobile,Alabama
36613,Mobile,Alabama
36615,Mobile,Alabama
36616,Mobile,Alabama
36617,Mobile,Alabama
36618,Mobile,Alabama
36619,Mobile,Alabama
36621,Mobile,Alabama
36622,Mobile,Alabama
36625,Mobile,Alabama
36628,Mobile,Alabama
36630,Mobile,Alabama
36633,Mobile,Alabama
36640,Mobile,Alabama
36641,Mobile,Alabama
36644,Mobile,Alabama
36652,Mobile,Alabama
36660,Mobile,Alabama
36663,Mobile,Alabama
36670,Mobile,Alabama
36671,Mobile,Alabama
36675,Mobile,Alabama
36685,Mobile,Alabama
36688,Mobile,Alabama
36689,Mobile,Alabama
36690,Mobile,Alabama
36691,Mobile,Alabama
36693,Mobile,Alabama
36695,Mobile,Alabama
36701,Dallas,Alabama
36702,Dallas,Alabama
36703,Dallas,Alabama
36720,Wilcox,Alabama
36721,Wilcox,Alabama
36722,Wilcox,Alabama
36723,Wilcox,Alabama
36726,Wilcox,Alabama
36727,Clarke,Alabama
36728,Wilcox,Alabama
36732,Marengo,Alabama
36736,Marengo,Alabama
36738,Marengo,Alabama
36740,Greene,Alabama
36741,Wilcox,Alabama
36742,Marengo,Alabama
36744,Hale,Alabama
36745,Marengo,Alabama
36748,Marengo,Alabama
36749,Autauga,Alabama
36750,Chilton,Alabama
36751,Wilcox,Alabama
36752,Lowndes,Alabama
36753,Wilcox,Alabama
36754,Marengo,Alabama
36756,Perry,Alabama
36758,Dallas,Alabama
36759,Dallas,Alabama
36761,Dallas,Alabama
36762,Clarke,Alabama
36763,Marengo,Alabama
36764,Marengo,Alabama
36765,Hale,Alabama
36766,Wilcox,Alabama
36767,Dallas,Alabama
36768,Wilcox,Alabama
36769,Wilcox,Alabama
36773,Dallas,Alabama
36775,Dallas,Alabama
36776,Hale,Alabama
36782,Marengo,Alabama
36783,Marengo,Alabama
36784,Clarke,Alabama
36785,Lowndes,Alabama
36786,Perry,Alabama
36790,Chilton,Alabama
36792,Bibb,Alabama
36793,Bibb,Alabama
36801,Lee,Alabama
36802,Lee,Alabama
36803,Lee,Alabama
36804,Lee,Alabama
36830,Lee,Alabama
36831,Lee,Alabama
36832,Lee,Alabama
36849,Lee,Alabama
36850,Tallapoosa,Alabama
36851,Russell,Alabama
36852,Lee,Alabama
36853,Tallapoosa,Alabama
36854,Chambers,Alabama
36855,Chambers,Alabama
36856,Russell,Alabama
36858,Russell,Alabama
36859,Russell,Alabama
36860,Russell,Alabama
36861,Tallapoosa,Alabama
36862,Chambers,Alabama
36863,Chambers,Alabama
36865,Lee,Alabama
36866,Macon,Alabama
36867,Russell,Alabama
36868,Russell,Alabama
36869,Russell,Alabama
36870,Lee,Alabama
36871,Russell,Alabama
36872,Lee,Alabama
36874,Lee,Alabama
36875,Russell,Alabama
36877,Lee,Alabama
36879,Lee,Alabama
36901,Sumter,Alabama
36904,Choctaw,Alabama
36907,Sumter,Alabama
36908,Choctaw,Alabama
36910,Choctaw,Alabama
36912,Choctaw,Alabama
36913,Choctaw,Alabama
36915,Choctaw,Alabama
36916,Choctaw,Alabama
36919,Choctaw,Alabama
36921,Choctaw,Alabama
36922,Choctaw,Alabama
36925,Sumter,Alabama
99501,Anchorage,Alaska
99502,Anchorage,Alaska
99503,Anchorage,Alaska
99504,Anchorage,Alaska
99505,Anchorage,Alaska
99506,Anchorage,Alaska
99507,Anchorage,Alaska
99508,Anchorage,Alaska
99509,Anchorage,Alaska
99510,Anchorage,Alaska
99511,Anchorage,Alaska
99513,Anchorage,Alaska
99514,Anchorage,Alaska
99515,Anchorage,Alaska
99516,Anchorage,Alaska
99517,Anchorage,Alaska
99518,Anchorage,Alaska
99519,Anchorage,Alaska
99520,Anchorage,Alaska
99521,Anchorage,Alaska
99522,Anchorage,Alaska
99523,Anchorage,Alaska
99524,Anchorage,Alaska
99529,Anchorage,Alaska
99530,Anchorage,Alaska
99540,Anchorage,Alaska
99545,Bethel,Alaska
99546,Aleutians West,Alaska
99547,Aleutians West,Alaska
99548,Lake And Peninsula,Alaska
99549,Lake And Peninsula,Alaska
99550,Kodiak Island,Alaska
99551,Bethel,Alaska
99552,Bethel,Alaska
99553,Aleutians East,Alaska
99554,Wade Hampton,Alaska
99555,Dillingham,Alaska
99556,Kenai Peninsula,Alaska
99557,Bethel,Alaska
99558,Yukon Koyukuk,Alaska
99559,Bethel,Alaska
99561,Bethel,Alaska
99563,Wade Hampton,Alaska
99564,Lake And Peninsula,Alaska
99565,Lake And Peninsula,Alaska
99566,Valdez Cordova,Alaska
99567,Anchorage,Alaska
99568,Kenai Peninsula,Alaska
99569,Dillingham,Alaska
99571,Aleutians East,Alaska
99572,Kenai Peninsula,Alaska
99573,Valdez Cordova,Alaska
99574,Valdez Cordova,Alaska
99575,Bethel,Alaska
99576,Dillingham,Alaska
99577,Anchorage,Alaska
99578,Bethel,Alaska
99579,Lake And Peninsula,Alaska
99580,Dillingham,Alaska
99581,Wade Hampton,Alaska
99583,Aleutians East,Alaska
99585,Wade Hampton,Alaska
99586,Valdez Cordova,Alaska
99587,Anchorage,Alaska
99588,Valdez Cordova,Alaska
99589,Bethel,Alaska
99590,Yukon Koyukuk,Alaska
99591,Aleutians West,Alaska
99599,Anchorage,Alaska
99602,Yukon Koyukuk,Alaska
99603,Kenai Peninsula,Alaska
99604,Wade Hampton,Alaska
99605,Kenai Peninsula,Alaska
99606,Lake And Peninsula,Alaska
99607,Bethel,Alaska
99608,Kodiak Island,Alaska
99609,Bethel,Alaska
99610,Kenai Peninsula,Alaska
99611,Kenai Peninsula,Alaska
99612,Aleutians East,Alaska
99613,Bristol Bay,Alaska
99614,Bethel,Alaska
99615,Kodiak Island,Alaska
99619,Kodiak Island,Alaska
99620,Wade Hampton,Alaska
99621,Bethel,Alaska
99622,Bethel,Alaska
99624,Kodiak Island,Alaska
99625,Lake And Peninsula,Alaska
99626,Bethel,Alaska
99627,Yukon Koyukuk,Alaska
99628,Dillingham,Alaska
99629,Matanuska Susitna,Alaska
99630,Bethel,Alaska
99631,Kenai Peninsula,Alaska
99632,Wade Hampton,Alaska
99633,Bristol Bay,Alaska
99634,Bethel,Alaska
99635,Kenai Peninsula,Alaska
99636,Dillingham,Alaska
99637,Bethel,Alaska
99638,Aleutians West,Alaska
99639,Kenai Peninsula,Alaska
99640,Lake And Peninsula,Alaska
99641,Bethel,Alaska
99643,Kodiak Island,Alaska
99644,Kodiak Island,Alaska
99645,Matanuska Susitna,Alaska
99647,Lake And Peninsula,Alaska
99648,Lake And Peninsula,Alaska
99649,Lake And Peninsula,Alaska
99650,Wade Hampton,Alaska
99651,Bethel,Alaska
99652,Matanuska Susitna,Alaska
99653,Lake And Peninsula,Alaska
99654,Matanuska Susitna,Alaska
99655,Bethel,Alaska
99656,Bethel,Alaska
99657,Wade Hampton,Alaska
99658,Wade Hampton,Alaska
99659,Nome,Alaska
99660,Aleutians West,Alaska
99661,Aleutians East,Alaska
99662,Wade Hampton,Alaska
99663,Kenai Peninsula,Alaska
99664,Kenai Peninsula,Alaska
99665,Yukon Koyukuk,Alaska
99666,Wade Hampton,Alaska
99667,Matanuska Susitna,Alaska
99668,Bethel,Alaska
99669,Kenai Peninsula,Alaska
99670,Bristol Bay,Alaska
99671,Nome,Alaska
99672,Kenai Peninsula,Alaska
99674,Matanuska Susitna,Alaska
99675,Yukon Koyukuk,Alaska
99676,Matanuska Susitna,Alaska
99677,Valdez Cordova,Alaska
99678,Dillingham,Alaska
99679,Bethel,Alaska
99680,Bethel,Alaska
99681,Bethel,Alaska
99682,Kenai Peninsula,Alaska
99683,Matanuska Susitna,Alaska
99684,Nome,Alaska
99685,Aleutians West,Alaska
99686,Valdez Cordova,Alaska
99687,Matanuska Susitna,Alaska
99688,Matanuska Susitna,Alaska
99689,Yakutat,Alaska
99690,Bethel,Alaska
99691,Yukon Koyukuk,Alaska
99692,Aleutians West,Alaska
99693,Valdez Cordova,Alaska
99694,Matanuska Susitna,Alaska
99695,Anchorage,Alaska
99697,Kodiak Island,Alaska
99701,Fairbanks North Star,Alaska
99702,Fairbanks North Star,Alaska
99703,Fairbanks North Star,Alaska
99704,Denali,Alaska
99705,Fairbanks North Star,Alaska
99706,Fairbanks North Star,Alaska
99707,Fairbanks North Star,Alaska
99708,Fairbanks North Star,Alaska
99709,Fairbanks North Star,Alaska
99710,Fairbanks North Star,Alaska
99711,Fairbanks North Star,Alaska
99712,Fairbanks North Star,Alaska
99714,Fairbanks North Star,Alaska
99716,Fairbanks North Star,Alaska
99720,Yukon Koyukuk,Alaska
99721,North Slope,Alaska
99722,Yukon Koyukuk,Alaska
99723,North Slope,Alaska
99724,Yukon Koyukuk,Alaska
99725,Fairbanks North Star,Alaska
